strategy,symbol,direction,opened_at,closed_at,entry_price,exit_price,qty,notional,stop_price,risk_amount,leverage,margin,fee,slippage_cost,funding,pnl,exit_reason,signal_reason,notes
meanrev,XAU-USDT-SWAP,long,2026-09-21T08:00:00+00:00,2026-09-21T12:00:00+00:00,4350.9744,4328.820221,4.99684797,21741.1576,4330.985714,99.88042363,2.176718601,9988.042363,23.85438777,21.68578481,0,-134.55545,stop,"RSI(14) 19 (<30); alt Bollinger(20,2) 4356.27 bandının %0.17 altında kapanış (4348.9); stop 2×ATR(14)=17.9143 uzakta (4330.99); TP orta bant 4377.26",boyut komisyon+marj nakde sığsın diye 0.9988 oranında kırpıldı
meanrev,CL-USDT-SWAP,long,2026-09-21T16:00:00+00:00,2026-09-22T08:00:00+00:00,92.30613,89.78794071,39.88821743,3681.926984,89.83285714,98.6544455,1,3681.926984,3.994874337,3.631679739,0.1198362642,-104.3211198,stop,"RSI(14) 28 (<30); alt Bollinger(20,2) 93.0215 bandının %0.82 altında kapanış (92.26); stop 2×ATR(14)=2.42714 uzakta (89.8329); TP orta bant 95.7615",
meanrev,XAU-USDT-SWAP,long,2026-09-22T08:00:00+00:00,2026-09-22T16:00:00+00:00,4307.5527,4366.040888,2.012998819,8671.0985,4258.414286,98.91556995,1.403807441,6176.843238,9.602963509,8.729998443,-1.829353768,106.3043351,tp,"RSI(14) 29 (<30); alt Bollinger(20,2) 4330.53 bandının %0.58 altında kapanış (4305.3); stop 2×ATR(14)=46.8857 uzakta (4258.41); TP orta bant 4368.23",boyut komisyon+marj nakde sığsın diye 0.9992 oranında kırpıldı
meanrev,CL-USDT-SWAP,long,2026-09-22T12:00:00+00:00,2026-09-24T12:00:00+00:00,89.994975,94.696628,32.9958005,2969.456241,87.02571429,97.97313417,1,2969.456241,3.351726008,3.047063189,0.07717766961,151.8602561,tp,"RSI(14) 18 (<30); alt Bollinger(20,2) 90.5173 bandının %0.63 altında kapanış (89.95); stop 2×ATR(14)=2.92429 uzakta (87.0257); TP orta bant 94.744",
meanrev,TRUMP-USDT-SWAP,long,2026-09-23T20:00:00+00:00,2026-09-25T20:00:00+00:00,1.962981,2.13363265,527.3254067,1035.129754,1.774285714,99.50381828,1,1035.129754,1.188136652,1.080146997,0.4518451114,89.2526592,tp,"RSI(14) 29 (<30); alt Bollinger(20,2) 1.97629 bandının %0.77 altında kapanış (1.961); stop 2×ATR(14)=0.186714 uzakta (1.77429); TP orta bant 2.1347",
meanrev,PUMP-USDT-SWAP,long,2026-09-24T12:00:00+00:00,2026-09-26T00:00:00+00:00,0.0037848915,0.004281408225,267170.7653,1011.212359,0.003412428571,99.51120566,1,1011.212359,1.185293709,1.077573168,-0.2661154407,131.2033442,tp,"RSI(14) 24 (<30); alt Bollinger(20,2) 0.00383066 bandının %1.22 altında kapanış (0.003784); stop 2×ATR(14)=0.000371571 uzakta (0.00341243); TP orta bant 0.00428355",
