ts,cash,margin_used,unrealized_pnl,equity,open_positions
2026-09-20T08:00:00+00:00,10000,0,0,10000,0
2026-09-20T12:00:00+00:00,9898.538165,0,0,9898.538165,0
2026-09-20T16:00:00+00:00,7256.039385,2641.046205,-51.70401291,9845.381577,2
2026-09-20T20:00:00+00:00,6182.716301,3683.138589,-22.05646185,9843.798428,4
2026-09-21T00:00:00+00:00,7437.217351,2424.137793,33.77876437,9895.133909,3
2026-09-21T04:00:00+00:00,1269.819427,8564.629733,29.77162601,9864.220786,4
2026-09-21T08:00:00+00:00,1263.205371,8587.632543,66.3938921,9917.231806,4
2026-09-21T12:00:00+00:00,5954.734221,3907.987701,107.9686136,9970.690535,4
2026-09-21T16:00:00+00:00,5302.35196,4633.176182,-13.51033817,9922.017804,3
2026-09-21T20:00:00+00:00,0,9932.348991,11.37753646,9943.726528,5
2026-09-22T00:00:00+00:00,8448.381473,1443.566587,0,9891.94806,2
2026-09-22T04:00:00+00:00,7315.861769,2470.325401,-25.08685091,9761.10032,3
2026-09-22T08:00:00+00:00,7322.757447,2428.548236,125.1792911,9876.484974,4
2026-09-22T12:00:00+00:00,7103.586633,2714.122733,-51.99206733,9765.717299,3
2026-09-22T16:00:00+00:00,3521.393901,6240.0709,91.30488683,9852.769688,4
2026-09-22T20:00:00+00:00,3729.106411,6054.707096,89.24227109,9873.055778,4
2026-09-23T00:00:00+00:00,2550.479,7232.036899,40.10877771,9822.624677,4
2026-09-23T04:00:00+00:00,1031.230471,8750.450301,18.12756612,9799.808338,5
2026-09-23T08:00:00+00:00,8293.9682,1443.566587,0,9737.534787,2
2026-09-23T12:00:00+00:00,7997.696518,1443.566587,0,9441.263105,2
2026-09-23T16:00:00+00:00,2387.62173,7050.55753,-5.553129914,9432.62613,3
2026-09-23T20:00:00+00:00,2387.62173,7050.55753,-10.65698933,9427.522271,3
2026-09-24T00:00:00+00:00,2388.950008,7050.55753,-7.123548197,9432.38399,3
2026-09-24T04:00:00+00:00,1038.304801,8400.46029,50.07331969,9488.838411,4
2026-09-24T08:00:00+00:00,2397.586825,7050.55753,18.2648807,9466.409236,3
2026-09-24T12:00:00+00:00,7996.019436,1443.566587,0,9439.586023,2
2026-09-24T16:00:00+00:00,2129.526348,7306.834877,-84.12686632,9352.234359,5
2026-09-24T20:00:00+00:00,7878.161305,1443.566587,0,9321.727893,2
2026-09-25T00:00:00+00:00,7060.76554,2260.513032,34.23453127,9355.513103,3
2026-09-25T04:00:00+00:00,4777.57856,4542.444949,66.25940881,9386.282918,4
