strategy,symbol,direction,opened_at,closed_at,entry_price,exit_price,qty,notional,stop_price,risk_amount,leverage,margin,fee,slippage_cost,funding,pnl,exit_reason,signal_reason,notes
trend,PEPE-USDT-SWAP,long,2026-09-22T04:00:00+00:00,2026-09-22T08:00:00+00:00,5.264631e-06,5.093166429e-06,195029587.9,1026.758814,4.757428571e-06,98.9194806,1,1026.758814,1.11104233,1.010030374,-0.3527582851,-34.90446531,stop,"20 bar Donchian tepesi 5.16e-06, kapanış 5.263e-06 ile %2.00 üstünde; rejim yukarı (EMA50 3.92508e-06 > EMA200 3.55979e-06); stop 2×ATR(14)=5.05571e-07 uzakta (4.75743e-06), trailing 1×ATR",exit_rule=trailing_atr
trend,MUBARAK-USDT-SWAP,long,2026-09-22T08:00:00+00:00,2026-09-22T12:00:00+00:00,0.055625799,0.06360775164,12574.69311,699.4773512,0.04786342857,97.60942591,1,699.4773512,0.824628919,0.7496879337,0,99.54597595,stop,"20 bar Donchian tepesi 0.048145, kapanış 0.055572 ile %15.43 üstünde; rejim yukarı (EMA50 0.0346092 > EMA200 0.0278617); stop 2×ATR(14)=0.00770857 uzakta (0.0478634), trailing 1×ATR",exit_rule=trailing_atr
trend,ONE-USDT-SWAP,long,2026-09-22T08:00:00+00:00,2026-09-22T12:00:00+00:00,0.0057680826,0.005107659179,49497.26229,285.5042973,0.003796214286,97.60208315,1,285.5042973,0.2960756939,0.2691516167,0,-32.985227,stop,"20 bar Donchian tepesi 0.0056281, kapanış 0.0057652 ile %2.44 üstünde; rejim yukarı (EMA50 0.00278649 > EMA200 0.00142669); stop 2×ATR(14)=0.00196899 uzakta (0.00379621), trailing 1×ATR",exit_rule=trailing_atr
trend,PUMP-USDT-SWAP,long,2026-09-22T12:00:00+00:00,2026-09-22T16:00:00+00:00,0.004626312,0.004433782,274636.9345,1270.556145,0.004266714286,98.75881389,1,1270.556145,1.368530043,1.244105313,-0.06091447206,-54.30529351,stop,"20 bar Donchian tepesi 0.004608, kapanış 0.004624 ile %0.35 üstünde; rejim yukarı (EMA50 0.00412313 > EMA200 0.00389342); stop 2×ATR(14)=0.000357286 uzakta (0.00426671), trailing 1×ATR",exit_rule=trailing_atr
trend,BCH-USDT-SWAP,long,2026-09-22T16:00:00+00:00,2026-09-22T20:00:00+00:00,327.9639,333.53315,4.273762185,1401.639714,305.1142857,97.65381747,1,1401.639714,1.554894593,1.413546843,0,22.24675545,stop,"20 bar Donchian tepesi 273.1, kapanış 327.8 ile %20.03 üstünde; rejim yukarı (EMA50 250.44 > EMA200 241.793); stop 2×ATR(14)=22.6857 uzakta (305.114), trailing 1×ATR",exit_rule=trailing_atr
trend,DASH-USDT-SWAP,long,2026-09-22T20:00:00+00:00,2026-09-23T00:00:00+00:00,62.901435,62.96136071,19.33621879,1216.27591,57.80571429,98.53197064,1,1216.27591,1.338540806,1.216855872,-0.06202092178,-0.2418250047,stop,"20 bar Donchian tepesi 61.59, kapanış 62.85 ile %2.05 üstünde; rejim yukarı (EMA50 58.1993 > EMA200 51.5939); stop 2×ATR(14)=5.04429 uzakta (57.8057), trailing 1×ATR",exit_rule=trailing_atr
trend,MU-USDT-SWAP,long,2026-09-22T16:00:00+00:00,2026-09-23T08:00:00+00:00,1077.908685,1083.607925,3.149491832,3394.864599,1046.907143,97.63910376,1,3394.864599,3.744223399,3.403844792,-0.7098188157,13.49566761,stop,"20 bar Donchian tepesi 1064.78, kapanış 1077.15 ile %1.16 üstünde; rejim yukarı (EMA50 1002.12 > EMA200 974.154); stop 2×ATR(14)=30.2429 uzakta (1046.91), trailing 1×ATR",exit_rule=trailing_atr
trend,HYPE-USDT-SWAP,long,2026-09-23T00:00:00+00:00,2026-09-23T08:00:00+00:00,97.2455985,96.02903289,24.61402624,2393.605713,93.23471429,98.72400929,1,2393.605713,2.616496767,2.378626533,-0.1044396112,-32.66551415,stop,"20 bar Donchian tepesi 96.942, kapanış 97.195 ile %0.26 üstünde; rejim yukarı (EMA50 89.4725 > EMA200 81.43); stop 2×ATR(14)=3.96029 uzakta (93.2347), trailing 1×ATR",exit_rule=trailing_atr
trend,AAVE-USDT-SWAP,long,2026-09-23T04:00:00+00:00,2026-09-23T08:00:00+00:00,152.45619,149.68512,9.95967039,1518.413401,142.5942857,98.22131611,1,1518.413401,1.655075322,1.504607406,-0.1491560238,-29.40317517,stop,"20 bar Donchian tepesi 149.24, kapanış 152.38 ile %2.10 üstünde; rejim yukarı (EMA50 136.926 > EMA200 125.471); stop 2×ATR(14)=9.78571 uzakta (142.594), trailing 1×ATR",exit_rule=trailing_atr
trend,ALLO-USDT-SWAP,long,2026-09-23T12:00:00+00:00,2026-09-23T12:00:00+00:00,0.33990987,0.30668658,2944.533736,1000.87608,0.30684,97.37534787,1,1000.87608,1.047158783,0.9519383116,0,-98.87425702,stop,"20 bar Donchian tepesi 0.31791, kapanış 0.33968 ile %6.85 üstünde; rejim yukarı (EMA50 0.250405 > EMA200 0.250045); stop 2×ATR(14)=0.03284 uzakta (0.30684), trailing 1×ATR",
trend,MET-USDT-SWAP,long,2026-09-23T12:00:00+00:00,2026-09-23T12:00:00+00:00,0.4018008,0.3609765643,2395.57284,962.5430836,0.3611571429,97.36484117,1,962.5430836,1.005008805,0.9136201475,0,-98.8024391,stop,"20 bar Donchian tepesi 0.3691, kapanış 0.4014 ile %8.75 üstünde; rejim yukarı (EMA50 0.267848 > EMA200 0.223975); stop 2×ATR(14)=0.0402429 uzakta (0.361157), trailing 1×ATR",
trend,NEAR-USDT-SWAP,long,2026-09-23T12:00:00+00:00,2026-09-23T12:00:00+00:00,4.6933455,4.146782714,178.8004015,839.1720598,4.148857143,97.35473687,1,839.1720598,0.8693401608,0.7902850032,0,-98.5949857,stop,"20 bar Donchian tepesi 4.659, kapanış 4.691 ile %0.69 üstünde; rejim yukarı (EMA50 3.68066 > EMA200 2.68428); stop 2×ATR(14)=0.542143 uzakta (4.14886), trailing 1×ATR",
trend,LTC-USDT-SWAP,long,2026-09-24T04:00:00+00:00,2026-09-24T08:00:00+00:00,66.57327,67.02932571,20.27694839,1349.90276,61.92142857,94.32514858,1,1349.90276,1.489979116,1.35452912,-0.1397081744,7.617730892,stop,"20 bar Donchian tepesi 64.72, kapanış 66.53 ile %2.80 üstünde; rejim yukarı (EMA50 58.7538 > EMA200 53.6615); stop 2×ATR(14)=4.60857 uzakta (61.9214), trailing 1×ATR",exit_rule=trailing_atr
trend,XAU-USDT-SWAP,short,2026-09-23T16:00:00+00:00,2026-09-24T12:00:00+00:00,4284.4567,4288.637607,1.308681902,5606.990943,4356.6,94.41263105,1,5606.990943,6.17069935,11.21098242,2.347363862,-9.294812999,stop,"20 bar Donchian dibi 4296, kapanış 4286.6 ile %0.22 altında; rejim aşağı (EMA50 4351.59 < EMA200 4375.95); stop 2×ATR(14)=70 uzakta (4356.6), trailing 1×ATR",exit_rule=trailing_atr
trend,BZ-USDT-SWAP,long,2026-09-24T16:00:00+00:00,2026-09-24T20:00:00+00:00,102.161055,100.4490361,24.96548192,2550.499971,98.38,94.39586023,1,2550.499971,2.782042211,2.529119229,0,-45.52341981,stop,"20 bar Donchian tepesi 100.78, kapanış 102.12 ile %1.33 üstünde; rejim yukarı (EMA50 98.3606 > EMA200 96.0257); stop 2×ATR(14)=3.74 uzakta (98.38), trailing 1×ATR",exit_rule=trailing_atr
trend,CL-USDT-SWAP,long,2026-09-24T16:00:00+00:00,2026-09-24T20:00:00+00:00,96.46821,94.77972929,24.01469872,2316.654999,92.53857143,94.36908635,1,2316.654999,2.526018903,2.296371258,0,-43.07437454,stop,"20 bar Donchian tepesi 94.77, kapanış 96.42 ile %1.74 üstünde; rejim yukarı (EMA50 93.9558 > EMA200 91.7133); stop 2×ATR(14)=3.88143 uzakta (92.5386), trailing 1×ATR",exit_rule=trailing_atr
trend,ETC-USDT-SWAP,long,2026-09-24T16:00:00+00:00,2026-09-24T20:00:00+00:00,9.9879915,9.705430571,99.73109406,996.1133197,9.042,94.34476727,1,996.1133197,1.080225591,0.982016465,0,-29.26033614,stop,"20 bar Donchian tepesi 9.74, kapanış 9.98 ile %2.46 üstünde; rejim yukarı (EMA50 8.62722 > EMA200 7.85833); stop 2×ATR(14)=0.938 uzakta (9.042), trailing 1×ATR",exit_rule=trailing_atr
trend,XPL-USDT-SWAP,long,2026-09-25T00:00:00+00:00,2026-09-25T08:00:00+00:00,0.11083539,0.1134425361,7370.808587,816.9464444,0.09818857143,93.21727893,1,816.9464444,0.9092103149,0.8265598425,0.009327815397,18.31689215,stop,"20 bar Donchian tepesi 0.10961, kapanış 0.11076 ile %1.05 üstünde; rejim yukarı (EMA50 0.0927338 > EMA200 0.0886784); stop 2×ATR(14)=0.0125714 uzakta (0.0981886), trailing 1×ATR",exit_rule=trailing_atr
trend,INTC-USDT-SWAP,long,2026-09-25T04:00:00+00:00,2026-09-25T12:00:00+00:00,128.434185,127.6318664,17.76732509,2281.931917,123.1685714,93.55586811,1,2281.931917,2.502284829,2.274801395,-0.3235850733,-17.08092479,stop,"20 bar Donchian tepesi 127.79, kapanış 128.38 ile %0.46 üstünde; rejim yukarı (EMA50 116.368 > EMA200 104.912); stop 2×ATR(14)=5.21143 uzakta (123.169), trailing 1×ATR",exit_rule=trailing_atr
trend,ONDO-USDT-SWAP,long,2026-09-25T08:00:00+00:00,2026-09-25T12:00:00+00:00,0.56658315,0.53823075,1727.679151,978.8738954,0.5122571429,93.85790988,1,978.8738954,1.049820167,0.9543699628,0,-50.03367052,stop,"20 bar Donchian tepesi 0.5413, kapanış 0.5664 ile %4.64 üstünde; rejim yukarı (EMA50 0.431761 > EMA200 0.385298); stop 2×ATR(14)=0.0541429 uzakta (0.512257), trailing 1×ATR",exit_rule=trailing_atr
trend,NEAR-USDT-SWAP,long,2026-09-25T16:00:00+00:00,2026-09-25T20:00:00+00:00,5.0995485,4.876988857,136.7250666,697.2361084,4.418285714,93.14569976,1,697.2361084,0.7502235041,0.6820139305,0,-31.1797055,stop,"20 bar Donchian tepesi 5.062, kapanış 5.097 ile %0.69 üstünde; rejim yukarı (EMA50 4.04246 > EMA200 2.91114); stop 2×ATR(14)=0.678714 uzakta (4.41829), trailing 1×ATR",exit_rule=trailing_atr
trend,GRASS-USDT-SWAP,long,2026-09-25T20:00:00+00:00,2026-09-26T00:00:00+00:00,0.55237605,0.5211393,1530.914591,845.6405545,0.4913285714,93.45847567,1,845.6405545,0.903903172,0.8217184066,-0.03991094338,-48.76461046,stop,"20 bar Donchian tepesi 0.5099, kapanış 0.552 ile %8.26 üstünde; rejim yukarı (EMA50 0.413642 > EMA200 0.364065); stop 2×ATR(14)=0.0606714 uzakta (0.491329), trailing 1×ATR",exit_rule=trailing_atr
trend,SUI-USDT-SWAP,long,2026-09-26T00:00:00+00:00,2026-09-26T04:00:00+00:00,1.19469705,1.153901332,927.5224877,1108.10838,1.094428571,93.00126868,1,1108.10838,1.198107798,1.08917972,0,-39.03705351,stop,"20 bar Donchian tepesi 1.1606, kapanış 1.1942 ile %2.90 üstünde; rejim yukarı (EMA50 0.955741 > EMA200 0.824355); stop 2×ATR(14)=0.0997714 uzakta (1.09443), trailing 1×ATR",exit_rule=trailing_atr
trend,PUMP-USDT-SWAP,long,2026-09-26T08:00:00+00:00,2026-09-26T12:00:00+00:00,0.0045732855,0.004416433536,256974.5102,1175.217801,0.004212428571,92.73103248,1,1175.217801,1.270570755,1.155054535,0,-41.57752745,stop,"20 bar Donchian tepesi 0.00455, kapanış 0.004572 ile %0.48 üstünde; rejim yukarı (EMA50 0.00412711 > EMA200 0.00394209); stop 2×ATR(14)=0.000359571 uzakta (0.00421243), trailing 1×ATR",exit_rule=trailing_atr
