strategy,symbol,direction,opened_at,closed_at,entry_price,exit_price,qty,notional,stop_price,risk_amount,leverage,margin,fee,slippage_cost,funding,pnl,exit_reason,signal_reason,notes
scalp_fixed,ADA-USDT-SWAP,long,2026-09-24T07:15:00+00:00,2026-09-24T11:30:00+00:00,0.24062025,0.235882,11748.81793,2827.003508,0.2325785714,94.48021741,1,2827.003508,3.079085999,2.799155873,-0.284321394,-59.03224396,signal,"RSI(2) aşırılık dönüşü: RSI=0.00 (≤ 5); aralık rejimi doğrulandı: |EMA20−EMA50|/kapanış=0.011% < 0.200%; engel Bollinger(20) orta bandı 0.24012; stop 3.25% (0.232579), hedef 0.256043 (2.00R), zaman stop'u 16 bar | arm=rsi2_reversal | post_r=nan",exit_rule=time_stop
scalp_fixed,BNB-USDT-SWAP,short,2026-09-24T11:00:00+00:00,2026-09-24T14:15:00+00:00,767.71595,782.8868571,6.552425342,5030.401446,781.7142857,91.72304968,1.010974511,4975.794535,5.588115021,10.1996457,0,-104.9943514,stop,"RSI(2) aşırılık dönüşü: RSI=100.00 (≥ 95); aralık rejimi doğrulandı: |EMA20−EMA50|/kapanış=0.087% < 0.200%; engel Bollinger(20) orta bandı 770.075; stop 1.79% (781.714), hedef 740.571 (2.00R), zaman stop'u 16 bar | arm=rsi2_reversal | post_r=nan",boyut komisyon+marj nakde sığsın diye 0.9994 oranında kırpıldı
scalp_fixed,PENGU-USDT-SWAP,long,2026-09-24T14:00:00+00:00,2026-09-24T14:30:00+00:00,0.009940968,0.0101799075,142641.3667,1417.993262,0.009303857143,90.87836342,1,1417.993262,1.57853805,1.43504347,0,32.5041188,signal,"RSI(2) aşırılık dönüşü: RSI=4.29 (≤ 5); aralık rejimi doğrulandı: |EMA20−EMA50|/kapanış=0.059% < 0.200%; engel Bollinger(20) orta bandı 0.0097874; stop 6.36% (0.00930386), hedef 0.0112003 (2.00R), zaman stop'u 16 bar | arm=rsi2_reversal | post_r=nan",exit_rule=time_stop
scalp_fixed,PENGU-USDT-SWAP,short,2026-09-24T10:15:00+00:00,2026-09-24T14:45:00+00:00,0.009699148,0.010091043,148071.7457,1436.169776,0.01031864286,91.72968494,1,1436.169776,1.611702471,1.465169924,0,-59.64027924,signal,"RSI(2) aşırılık dönüşü: RSI=100.00 (≥ 95); aralık rejimi doğrulandı: |EMA20−EMA50|/kapanış=0.125% < 0.200%; engel Bollinger(20) orta bandı 0.00990105; stop 6.33% (0.0103186), hedef 0.00847471 (2.00R), zaman stop'u 16 bar | arm=rsi2_reversal | post_r=nan",exit_rule=time_stop
scalp_fixed,AVAX-USDT-SWAP,long,2026-09-24T15:00:00+00:00,2026-09-24T19:15:00+00:00,10.2421185,10.4237855,191.525148,1961.623261,9.769428571,90.53200851,1,1961.623261,2.176922177,1.979029354,0.02715104059,32.64402792,signal,"RSI(2) aşırılık dönüşü: RSI=0.00 (≤ 5); aralık rejimi doğrulandı: |EMA20−EMA50|/kapanış=0.099% < 0.200%; engel Bollinger(20) orta bandı 10.1671; stop 4.58% (9.76943), hedef 11.1751 (2.00R), zaman stop'u 16 bar | arm=rsi2_reversal | post_r=nan",exit_rule=time_stop
scalp_fixed,XRP-USDT-SWAP,long,2026-09-24T15:15:00+00:00,2026-09-24T19:30:00+00:00,1.49824875,1.5310341,1468.50908,2200.191894,1.436564286,90.58419592,1,2200.191894,2.446691155,2.224277279,-0.04843495519,45.65045807,signal,"RSI(2) aşırılık dönüşü: RSI=0.00 (≤ 5); aralık rejimi doğrulandı: |EMA20−EMA50|/kapanış=0.027% < 0.200%; engel Bollinger(20) orta bandı 1.48407; stop 4.08% (1.43656), hedef 1.61967 (2.00R), zaman stop'u 16 bar | arm=rsi2_reversal | post_r=nan",exit_rule=time_stop
scalp_fixed,BTC-USDT-SWAP,long,2026-09-24T16:15:00+00:00,2026-09-24T20:30:00+00:00,84265.41165,84194.2818,0.04135638265,3484.912608,82067.72857,90.88822234,1,3484.912608,3.831785949,3.483441907,0,-6.773459243,signal,"RSI(2) aşırılık dönüşü: RSI=0.00 (≤ 5); aralık rejimi doğrulandı: |EMA20−EMA50|/kapanış=0.044% < 0.200%; engel Bollinger(20) orta bandı 83893.8; stop 2.56% (82067.7), hedef 88534.4 (2.00R), zaman stop'u 16 bar | arm=rsi2_reversal | post_r=nan",exit_rule=time_stop
scalp_fixed,ETH-USDT-SWAP,long,2026-09-24T17:15:00+00:00,2026-09-24T21:30:00+00:00,2685.412035,2686.41612,1.005384352,2699.871238,2594.572857,91.32828795,1.92743152,1400.761174,2.970413582,2.700376911,0,-1.960922235,signal,"RSI(2) aşırılık dönüşü: RSI=0.00 (≤ 5); aralık rejimi doğrulandı: |EMA20−EMA50|/kapanış=0.115% < 0.200%; engel Bollinger(20) orta bandı 2670.12; stop 3.33% (2594.57), hedef 2863.09 (2.00R), zaman stop'u 16 bar | arm=rsi2_reversal | post_r=nan",boyut komisyon+marj nakde sığsın diye 0.9989 oranında kırpıldı | exit_rule=time_stop
scalp_fixed,BTC-USDT-SWAP,short,2026-09-24T20:45:00+00:00,2026-09-25T01:00:00+00:00,84306.8255,84602.78025,0.06874951556,5796.053412,85634,91.24260394,1,5796.053412,6.386849463,5.806223149,-0.02203886946,-26.75563402,signal,"RSI(2) aşırılık dönüşü: RSI=100.00 (≥ 95); aralık rejimi doğrulandı: |EMA20−EMA50|/kapanış=0.156% < 0.200%; engel Bollinger(20) orta bandı 84368.7; stop 1.52% (85634), hedef 81779 (2.00R), zaman stop'u 16 bar | arm=rsi2_reversal | post_r=nan",exit_rule=time_stop
scalp_fixed,ETH-USDT-SWAP,short,2026-09-24T23:15:00+00:00,2026-09-25T03:30:00+00:00,2682.887885,2675.45706,2.769646858,7430.652,2715.787857,91.12130447,2.238530594,3319.432855,8.162397782,7.42036862,-0.2505736727,12.16778966,signal,"RSI(2) aşırılık dönüşü: RSI=100.00 (≥ 95); aralık rejimi doğrulandı: |EMA20−EMA50|/kapanış=0.166% < 0.200%; engel Bollinger(20) orta bandı 2686.82; stop 1.18% (2715.79), hedef 2621.08 (2.00R), zaman stop'u 16 bar | arm=rsi2_reversal | post_r=nan",boyut komisyon+marj nakde sığsın diye 0.9988 oranında kırpıldı | exit_rule=time_stop
