ts,cash,margin_used,unrealized_pnl,equity,open_positions
2026-09-20T08:00:00+00:00,10000,0,0,10000,0
2026-09-20T12:00:00+00:00,8340.273468,1658.814184,22.38579555,10021.47345,1
2026-09-20T16:00:00+00:00,7810.98279,2187.645885,24.04122346,10022.6699,2
2026-09-20T20:00:00+00:00,6514.357543,3483.55838,0.8978364825,9998.813759,3
2026-09-21T00:00:00+00:00,549.6019694,9445.077364,67.06469966,10061.74403,4
2026-09-21T04:00:00+00:00,0,9993.41977,66.80608771,10060.22586,5
2026-09-21T08:00:00+00:00,5849.803571,4031.900787,50.00787622,9931.712234,4
2026-09-21T12:00:00+00:00,4870.100794,5011.065023,77.61723047,9958.783048,5
2026-09-21T16:00:00+00:00,4869.928455,5011.065023,77.66336631,9958.656844,5
2026-09-21T20:00:00+00:00,6505.798598,3166.810121,176.6124421,9849.221162,3
2026-09-22T00:00:00+00:00,48.60950802,9620.247023,174.8678921,9843.724423,4
2026-09-22T04:00:00+00:00,0,9668.723222,191.5382325,9860.261454,5
2026-09-22T08:00:00+00:00,0.760838235,9668.723222,193.0106701,9862.49473,5
2026-09-22T12:00:00+00:00,0.760838235,9668.723222,195.0829626,9864.567023,5
2026-09-22T16:00:00+00:00,0.6686587413,9668.723222,136.1068604,9805.498741,5
2026-09-22T20:00:00+00:00,0.6686587413,9668.723222,123.8758773,9793.267758,5
2026-09-23T00:00:00+00:00,0.5507191788,9668.723222,157.0273107,9826.301252,5
2026-09-23T04:00:00+00:00,0.5507191788,9668.723222,144.248563,9813.522504,5
2026-09-23T08:00:00+00:00,0.4182982376,9668.723222,132.8589608,9802.000481,5
2026-09-23T12:00:00+00:00,0.4182982376,9668.723222,199.8548726,9868.996393,5
2026-09-23T16:00:00+00:00,0.5304351354,9668.723222,367.5416181,10036.79527,5
2026-09-23T20:00:00+00:00,0.5304351354,9668.723222,339.0876598,10008.34132,5
2026-09-24T00:00:00+00:00,1.670542401,9668.723222,334.1500153,10004.54378,5
2026-09-24T04:00:00+00:00,1.670542401,9668.723222,328.259111,9998.652875,5
2026-09-24T08:00:00+00:00,3.226056225,9668.723222,325.7569297,9997.706208,5
2026-09-24T12:00:00+00:00,3.226056225,9668.723222,368.4948812,10040.44416,5
2026-09-24T16:00:00+00:00,4.233053296,9668.723222,390.564501,10063.52078,5
2026-09-24T20:00:00+00:00,4.233053296,9668.723222,404.1154515,10077.07173,5
2026-09-25T00:00:00+00:00,4.882195811,9668.723222,390.1379472,10063.74336,5
2026-09-25T04:00:00+00:00,4.882195811,9668.723222,368.7826214,10042.38804,5
2026-09-25T08:00:00+00:00,5.11698237,9668.723222,347.7899606,10021.63016,5
2026-09-25T12:00:00+00:00,5.11698237,9668.723222,406.6831917,10080.5234,5
2026-09-25T16:00:00+00:00,6.719315751,9668.723222,375.729098,10051.17164,5
2026-09-25T20:00:00+00:00,6.719315751,9668.723222,385.7094163,10061.15195,5
2026-09-26T00:00:00+00:00,6.604862819,9668.723222,386.8596467,10062.18773,5
2026-09-26T04:00:00+00:00,884.6240107,8689.558985,430.8231274,10005.00612,4
2026-09-26T08:00:00+00:00,0,9572.872391,435.1313593,10008.00375,5
